,Posts,Channel,Views_03/03,Views_03/12,view_delta
0,"new ethiopian cover music mahelet gashaw  ማህሌት ጋሻዉ ከቨር ሙዚቃ  2021 by Awash Entertainment 2 months ago 3 minutes, 19 seconds 3,135 views",Awash Entertainment,3135,3303,168
1,"የሀዋሳ ከተማ በረከቶች  Hawassa Ethiopia 2021 by Awash Entertainment 3 months ago 4 minutes, 7 seconds 545 views",Awash Entertainment,545,558,13
2,"የገጣሚያን ቆይታ ከ ሙዚቀኞች ጋር 2021 by Awash Entertainment 3 months ago 13 minutes, 37 seconds 322 views",Awash Entertainment,322,336,14
3,ጉድ እኮ ነዉ  new interview 2021 gude eko new by Awash Entertainment 3 months ago 21 minutes 404 views,Awash Entertainment,404,417,13
4,"ሻጠማ እድር አዲስ ኮሜዲ ታጠብ New Ethiopian Comedy 2021 by Awash Entertainment 7 months ago 19 minutes 1,389 views",Awash Entertainment,1389,1395,6
5,"አረግዛለው ሻጠማ እድር አጭር ኮሜዲ 2021 Ethiopian comedy by Awash Entertainment 7 months ago 15 minutes 1,586 views",Awash Entertainment,1586,1623,37
6,"New Ethiopian comedy Highlight (2021) አረግዛለሁ; ሻጠማ እድሮች by Awash Entertainment 7 months ago 1 minute, 24 seconds 1,008 views",Awash Entertainment,1008,1015,7
7,"Rahel G/Mikael (ልቺ) - TEREDAALEY (ተረዳኣለይ) - New Ethiopian Tigrigna Music 2020 | Official Music Video by Awash Entertainment 1 year ago 5 minutes, 22 seconds 10,238 views",Awash Entertainment,10238,10262,24
8,"Abrhaley Azenaw - ZELMEDKNI (ዘልመድክኒ) - New Ethiopian Tigrigna Music 2020 | Official Music Video by Awash Entertainment 1 year ago 4 minutes, 34 seconds 5,394 views",Awash Entertainment,5394,5432,38
9,"WEY GIZE ወይ ግዜ New Comedy Tigrigna Drama 2020 by Awash Entertainment 1 year ago 11 minutes, 56 seconds 2,980 views",Awash Entertainment,2980,2998,18
10,"ፃውዒት New Ethiopian Tigrigna Drama 2020 part 2 by Awash Entertainment 1 year ago 20 minutes 2,630 views",Awash Entertainment,2630,2633,3
11,"Ashenafi Teka - SALAKI(ሳላኪ) - New Ethiopian Tigrigna Music 2020 | Official Music Video by Awash Entertainment 1 year ago 5 minutes, 29 seconds 8,561 views",Awash Entertainment,8561,8584,23
12,"Mesqalah መስቃላህ New Ethiopian Traditional Erob Music (Official Video) by Awash Entertainment 1 year ago 5 minutes, 58 seconds 226,226 views",Awash Entertainment,226226,226966,740
13,"MESQEL 2012 Adigrat መስቀል 2012 ኣብ ዓዲግራት by Awash Entertainment 1 year ago 47 minutes 13,747 views",Awash Entertainment,13747,13816,69
14,"Mogos Kahsay BRKI LILO ብርኪ ሊሎ (Official Video) Ethiopian Tigrigna Music 2020 by Awash Entertainment 1 year ago 5 minutes, 24 seconds 23,364 views",Awash Entertainment,23364,23381,17
15,"NaboNmen Nahabo ናቦ ንመን ናሃቦ New Ethiopian Tigrigna Comedy 2020 part 1 by Awash Entertainment 1 year ago 16 minutes 1,932 views",Awash Entertainment,1932,1936,4
16,"ፃውዒት New Ethiopian Tigrigna Drama 2020 part 1 by Awash Entertainment 1 year ago 23 minutes 6,137 views",Awash Entertainment,6137,6144,7
17,"Selamta Ezni  ሰለምታ እዝኒ New Ethiopian Tigrigna Comedy 2020 by Awash Entertainment 1 year ago 17 minutes 2,237 views",Awash Entertainment,2237,2241,4
18,"3G  SEGARI MEAT ሰጋሪ መዓት(Official Video) Ethiopian Tigrigna Music 2020 by Awash Entertainment 1 year ago 7 minutes, 5 seconds 115,089 views",Awash Entertainment,115089,115261,172
19,"Tewelde Gebru GIZE ግዜ(Official Video) Ethiopian Tigrigna Music 2020 by Awash Entertainment 1 year ago 7 minutes, 12 seconds 56,299 views",Awash Entertainment,56299,56322,23
20,"Helen Alem ASHENDA-ኣሽንዳ (Official Video) Ethiopian Tigrigna Music 2020 by Awash Entertainment 1 year ago 8 minutes, 12 seconds 505,011 views",Awash Entertainment,505011,505456,445
21,"Fisaha Hailay (Wedi Tsehay)TAALELE-ታዓለለ (Official Video) Ethiopian Tigrigna Music 2020 by Awash Entertainment 1 year ago 5 minutes, 10 seconds 344,876 views",Awash Entertainment,344876,346636,1760
22,"Haftom Seged AB GOBO MWALA-ኣብ ጎቦ ምውኣላ(Official Video) Ethiopian Tigrigna Music 2020 by Awash Entertainment 1 year ago 6 minutes, 29 seconds 33,575 views",Awash Entertainment,33575,33603,28
23,"Haftom Gebre  TAAWITULEY -ተዊቱለይ(Official Video) Ethiopian Tigrigna Music 2020 by Awash Entertainment 1 year ago 4 minutes, 47 seconds 5,941 views",Awash Entertainment,5941,5946,5
24,"Hani Berhane(Sayber)AKLILEY- ኣክሊለይ(Official Video) Ethiopian Tigrigna Music 2020 by Awash Entertainment 1 year ago 6 minutes, 16 seconds 121,251 views",Awash Entertainment,121251,121335,84
25,"Amanual G/kidan   AMBESA EYU| ኣምበሳ እዩ (Official Video) Ethiopian Tigrigna Music 2020 by Awash Entertainment 1 year ago 5 minutes, 56 seconds 3,438 views",Awash Entertainment,3438,3440,2
26,"Solomon Gebru  TIGRAY (ትግራይ) New Ethiopian Tigrigna Music 2020 (Official Video) by Awash Entertainment 1 year ago 7 minutes, 2 seconds 236,195 views",Awash Entertainment,236195,236361,166
27,"Negash G/medhin ALMAZ BURUREY(ኣልማዝ ቡሩረይ) New Ethiopian Tigrigna Music 2020 (Official Video) by Awash Entertainment 1 year ago 5 minutes, 48 seconds 7,900 views",Awash Entertainment,7900,7907,7
28,"Germay Kidane TFETWNI DO? (ትፈትውኒ ዶ?) New Ethiopian Tigrigna Music 2020 (Official Video) by Awash Entertainment 1 year ago 4 minutes, 58 seconds 61,156 views",Awash Entertainment,61156,61169,13
29,"New Ethiopian Tigrigna Comedy 2020 ገ እናበሉካ ዶ? by Awash Entertainment 1 year ago 11 minutes, 31 seconds 2,998 views",Awash Entertainment,2998,3000,2
30,"Kahsay  Gebregziabher B TIGRAY  (ብ ትግራይ) New Ethiopian Tigrigna Music 2020 (Official Video) by Awash Entertainment 1 year ago 6 minutes, 40 seconds 29,996 views",Awash Entertainment,29996,30009,13
31,"Asfaw Gebrecherkos ZATIGRAYADEY (ዛ ትግራይ ዓደይ) New Ethiopian Tigrigna Music 2020 (Official Video) by Awash Entertainment 1 year ago 6 minutes, 15 seconds 14,414 views",Awash Entertainment,14414,14425,11
32,"Solomon G/Slassie Desalegn Mengustu SHELUMULEY  New Ethiopian Tigrigna Music 2020 (Official Video) by Awash Entertainment 1 year ago 8 minutes, 8 seconds 51,443 views",Awash Entertainment,51443,51479,36
33,"Ephrem Haylay Hnsa G/Hiwot TAAZEBOM(ታዓዘቦም) New Ethiopian Tigrigna Music 2020 (Official Video) by Awash Entertainment 1 year ago 5 minutes, 34 seconds 55,602 views",Awash Entertainment,55602,55677,75
34,"Zayd Abrahaley WANINEY (ዋኒነይ) New Ethiopian Tigrigna Music 2020 (Official Video) by Awash Entertainment 1 year ago 5 minutes, 4 seconds 6,860 views",Awash Entertainment,6860,6866,6
35,"Tuom Hailu  BSALAKUM (ብሳላኩም) New Ethiopian Tigrigna Music 2020 (Official Video) by Awash Entertainment 1 year ago 5 minutes, 5 seconds 15,044 views",Awash Entertainment,15044,15052,8
36,"New Ethiopian Tigrigna Comedy 2020 MENSUTA (መንሱታ) by Awash Entertainment 1 year ago 28 minutes 1,037 views",Awash Entertainment,1037,1040,3
37,"Ras_Willy_Moto_ft_Slassian_Recordes_  JOROYALEWYSMA ጆሮ ያለው ይስማ New Ethiopian music 2020 by Awash Entertainment 1 year ago 3 minutes, 53 seconds 3,582 views",Awash Entertainment,3582,3585,3
38,"Abraham G/yohans ALEM (ዓለም) New Ethiopian Tigrigna Music 2020 (Official Video) by Awash Entertainment 1 year ago 5 minutes, 11 seconds 38,301 views",Awash Entertainment,38301,38350,49
39,"Haftom Muez & Muluberhan kahsay -YEKLLELNA(የቅልለልና) New Tigrigna Music 2020(Official Video) by Awash Entertainment 1 year ago 3 minutes, 24 seconds 3,027 views",Awash Entertainment,3027,3033,6
40,"Lidya Birhanu  SYE (ስየ) New Ethiopian Tigrigna Music 2020 (Official Video) by Awash Entertainment 1 year ago 5 minutes, 55 seconds 6,784 views",Awash Entertainment,6784,6809,25
41,"nash ft. epxi ''ናተይ'' natey  New Ethiopian Music 2020(Official Video) by Awash Entertainment 1 year ago 3 minutes, 56 seconds 3,168 views",Awash Entertainment,3168,3173,5
42,"New Ethiopian Tigrigna Comedy 2020  ሽሙን ወርቅን SHEMUN WERQEN by Awash Entertainment 1 year ago 4 minutes, 32 seconds 2,778 views",Awash Entertainment,2778,2780,2
43,"New Ethiopian Tigrigna Comedy 2020 Goytom Tewelde (Wedi Kuras) ኮሮና  CORONA by Awash Entertainment 1 year ago 2 minutes, 55 seconds 5,888 views",Awash Entertainment,5888,5893,5
44,"Hray Asfaw(gal zamra) MEHENEN(መሀነን) New Ethiopian Tigrigna Music 2020 (Official Video) by Awash Entertainment 1 year ago 5 minutes, 46 seconds 10,042 views",Awash Entertainment,10042,10052,10
45,"Zekarias gebretsadik ABHADE NSMER (ኣብ ሓደ ንስመር) New Ethiopian Tigrigna Music 2020 (Official Video) by Awash Entertainment 2 years ago 4 minutes, 46 seconds 6,061 views",Awash Entertainment,6061,6066,5
46,"ጠርጣራው  ስቡሕ ኣብ መክፈቲ ፓነል ምይይጥ 11 የካቲት by Awash Entertainment 2 years ago 7 minutes, 21 seconds 3,247 views",Awash Entertainment,3247,3261,14
47,"Awet Lijalem  SEMAETATINA(ሰማእታትና )Ft Rahwa Yemane New Ethiopian Tigrigna Music 2020 (Official Video) by Awash Entertainment 2 years ago 5 minutes, 13 seconds 16,108 views",Awash Entertainment,16108,16111,3
48,"ንሕና  ዊንታ/ወዲ ረሚጥ/ ኣበበ  ኣርኣያ ን ኣብ መክፈቲ ፓነል ምይይጥ 11 የካቲት by Awash Entertainment 2 years ago 6 minutes, 44 seconds 14,660 views",Awash Entertainment,14660,14668,8
49,"(ቆቃሓት) ሙዚቃዊ ድራማ ኣብ መክፈቲ ፓነል ምይይጥ 11 የካቲት by Awash Entertainment 2 years ago 21 minutes 12,525 views",Awash Entertainment,12525,12539,14
50,"Timnit Welday ft. Ephrem Amare - Mizekerkani doትምኒት  ምስ ኤፍሬም  መክፈቲ ፓነል ምይይጥ 11 የካቲት  ምለለኻኒ ዶ ? by Awash Entertainment 2 years ago 5 minutes, 54 seconds 159,627 views",Awash Entertainment,159627,159743,116
51,"Tommy JEE  (BADO HADE)~ባዶ ሓደ~- New Ethiopian Music 2020(Official Video) by Awash Entertainment 2 years ago 3 minutes, 38 seconds 1,905 views",Awash Entertainment,1905,1907,2
52,"Tesfay Zeray ALENA DO (ኣለና ዶ? ) New Ethiopian Tigrigna Music 2020 (Official Video) by Awash Entertainment 2 years ago 6 minutes, 14 seconds 18,887 views",Awash Entertainment,18887,18904,17
53,"Tahguas Teshome -SEGEN (ሰገን ) New Ethiopian Tigrigna Music 2020 (Official Video) by Awash Entertainment 2 years ago 4 minutes, 37 seconds 24,618 views",Awash Entertainment,24618,24626,8
54,"Berhe Kahsay -WUDBEY(ዉድበይ)New Ethiopian Tigrigna Music 2020 (Official Video) by Awash Entertainment 2 years ago 6 minutes, 16 seconds 20,993 views",Awash Entertainment,20993,21004,11
55,"Abedom G/slase # ABAY TIGRAY( ኣባይ ትግራይ) New Ethiopian Tigrigna Music 2020 (Official Video) by Awash Entertainment 2 years ago 7 minutes, 25 seconds 73,908 views",Awash Entertainment,73908,73932,24
56,"Yapi Mapi ft John Haftu (BITSAY)~ብፃይ~- New Ethiopian Music 2020(Official Video) by Awash Entertainment 2 years ago 7 minutes, 24 seconds 57,451 views",Awash Entertainment,57451,57488,37
57,"Zenawi Hailemariam& Husen Ali Barahle(ሓደ ኢና) New Ethiopian Tigrigna Music 2020 (Official Video by Awash Entertainment 2 years ago 4 minutes, 25 seconds 12,168 views",Awash Entertainment,12168,12196,28
58,"ዳይ ዳይ X-DOP BOYZ-Ona Jany & MillGas Ethiopian Tigrigna Music 2020 (Official Video) by Awash Entertainment 2 years ago 3 minutes, 57 seconds 5,493 views",Awash Entertainment,5493,5502,9
