,Posts,Channel,Views_03/03,Views_03/12,view_delta
0,"Yared Negu - Yegir Esat |ያሬድ ነጉ - የእግር እሳት ከካሜራ በስተጀርባ 2022 by 16 Plus Entertainment 2 weeks ago 13 minutes, 6 seconds 534 views",16 Plus Entertainment,534,643,109
1,"Zebiba Girma - Ayehu Gela - ዘቢባ ግርማ - አየሁ ገላ የሙዚቃ ቪዲዮ ከካሜራ በስተጀርባ  2021 by 16 Plus Entertainment 3 months ago 18 minutes 1,069 views",16 Plus Entertainment,1069,1121,52
2,26 September 2021 by 16 Plus Entertainment 5 months ago 16 seconds 255 views,16 Plus Entertainment,255,260,5
3,"Yared Negu & Millen Hailu-(BIRA-BIRO)የ ያሬድ ነጉ እና የ ሚለን ሀይሉ 'ቢራቢሮ' የሙዚቃ ቪዲዮ ከካሜራ በስተጀርባ ክፍል ሁለት 2021 by 16 Plus Entertainment 7 months ago 11 minutes, 57 seconds 159,257 views",16 Plus Entertainment,159257,159913,656
4,"Ethiopian Music Bisrat Surafel ብስራት ሱራፌል (ትሆን ወይ) የሙዚቃ ቪዲዮ ከካሜራ በስተጀርባ Behind Scenes 2021 by 16 Plus Entertainment 7 months ago 23 minutes 6,543 views",16 Plus Entertainment,6543,6618,75
5,"Yared Negu & Millen Hailu - (BIRA-BIRO)የ ያሬድ ነጉ እና የ ሚለን ሀይሉ 'ቢራቢሮ' የሙዚቃ ቪዲዮ ከካሜራ በስተጀርባ 2021 by 16 Plus Entertainment 8 months ago 16 minutes 354,415 views",16 Plus Entertainment,354415,354947,532
6,ልዩ የበዓል ፕሮግራም ክፍል 1 by 16 Plus Entertainment 1 year ago 19 minutes 597 views,16 Plus Entertainment,597,599,2
7,"Ethiopia: Zebiba Girma (Zim) ዘቢባ ግርማ (ዝም) - New Ethiopian Music 2020(Official Video) by 16 Plus Entertainment 1 year ago 1 minute, 15 seconds 348,514 views",16 Plus Entertainment,348514,350044,1530
8,"ጃኪ ጎሲ | እንዳሞራው  - Jacky Gosee | Ende Amoraw || BEHIND THE SCENES || ምርጥ ከካሜራ ጀርባ ትእይንቶች by 16 Plus Entertainment 2 years ago 12 minutes, 5 seconds 22,298 views",16 Plus Entertainment,22298,22344,46
9,"ወጣት በ 97 | WETAT BE 97 - ከካሜራ ጀርባ ትእይንቶች || ክፍል 2 || 16 Film Production by 16 Plus Entertainment 2 years ago 9 minutes, 16 seconds 12,853 views",16 Plus Entertainment,12853,13098,245
10,"ወጣት በ 97 | WETAT BE 97 - ከካሜራ ጀርባ ትእይንቶች || ክፍል 1 - 16 Film Production by 16 Plus Entertainment 2 years ago 8 minutes, 51 seconds 10,580 views",16 Plus Entertainment,10580,10899,319
11,"ኢትኤል Ethiopian movie trailer - Ethal 2019 - 16 Film Production by 16 Plus Entertainment 2 years ago 2 minutes, 31 seconds 15,495 views",16 Plus Entertainment,15495,15504,9
12,"Behind The Scene Kako Getachew - Aroge Arada 2 - አሮጌ አራዳ 2 music video - 16 Film Production by 16 Plus Entertainment 2 years ago 4 minutes, 5 seconds 15,685 views",16 Plus Entertainment,15685,15767,82
13,"Welcome To 16 Film production official Channel - 16 Film Production by 16 Plus Entertainment 2 years ago 1 minute, 32 seconds 4,860 views",16 Plus Entertainment,4860,4882,22
14,"Asgegnew Ashko Asge /Lade / ላዴ  Music Mideo Behind The Scene - 16 Film Production by 16 Plus Entertainment 2 years ago 4 minutes, 46 seconds 2,737 views",16 Plus Entertainment,2737,2744,7
15,"Bisrat Surafel /Yebet Sira /የቤት ስራ Music clip Behind The Scene - 16 Film Production by 16 Plus Entertainment 2 years ago 2 minutes, 28 seconds 4,348 views",16 Plus Entertainment,4348,4355,7
16,"ያሬድ ነጉ - ያጉቴ - ከካሜራ ጀርባ || Yared Negu - Yagute - Music video Behind The Scene - 16 Film Production by 16 Plus Entertainment 2 years ago 4 minutes, 39 seconds 104,136 views",16 Plus Entertainment,104136,104229,93
17,"😲🔥ታዳሚውን  በጭፈራ ያስደመሙት ሙሽሮች😲🔥 Amazing Ethiopian habesha wedding  አዝናኝ የስርግ ላይ ጭፈራዎች by Adey Entertainment 3 months ago 9 minutes, 21 seconds 676 views",Adey Entertainment,676,700,24
18,"💎Luxury wedding 💎 in Addis Abeba / Tsion & Sirak /አዝናኝ የስርግ ፕሮግራም / ETHIOPIAN  HABESHA WEDDING VIDEO by Adey Entertainment 3 months ago 8 minutes, 16 seconds 7,693 views",Adey Entertainment,7693,8204,511
19,ዝነኛው ሾው/Zenegnaw Show/ Coming Soon by Adey Entertainment 8 months ago 23 seconds 121 views,Adey Entertainment,121,121,0
20,"Amazing Ethiopian habesha wedding  አዝናኝ የስርግ ላይ ጭፈራዎች by Adey Entertainment 11 months ago 59 seconds 6,893 views",Adey Entertainment,6893,6975,82
21,SKALES  - Live Concert in Ethiopia Addis Abeba  WAZEMA Concert  🔥🔥🔥 by Adey Entertainment 1 year ago 26 minutes 443 views,Adey Entertainment,443,446,3
22,"Hewan Gebrewold - Gude Fela | ሄዋን ገብረወልድ | ጉዴፈላ| - New Ethiopian Music 2020 (Official Video) by Adey Entertainment 1 year ago 4 minutes 187,331 views",Adey Entertainment,187331,187794,463
23,"ቤቲ ጂ - / አዲስ አመት /  BETTY G - ""ABEBAYEHOSH"" by Adey Entertainment 1 year ago 5 minutes, 58 seconds 2,018 views",Adey Entertainment,2018,2027,9
24,"አዝናኝ የስርግ ፕሮግራም  እና ጭፈራዎች THE MOST BEAUTIFUL ETHIOPIAN  HABESHA WEDDING VIDEO ""NADIYA AND MIKREAB"" by Adey Entertainment 1 year ago 9 minutes, 42 seconds 230,958 views",Adey Entertainment,230958,232053,1095
25,"ሔኖክ ድንቁ - ለ ሜላት ነብዩ የጋብዛት ዘፈን ""ክፍል 2""  አዝናኝ ቆይታ/ ዝነኛው ሾው/Zenegnaw Show/ Melat Nebeyou & Henok Dinku by Adey Entertainment 1 year ago 11 minutes, 23 seconds 8,867 views",Adey Entertainment,8867,8893,26
26,"በጉጉት ሲጠበቅ የነበረው የ ሜላት ነብዮ ቃለ መጠይቅ እና አስቂኝ  አዝናኝ ጨዋታ Melat Nebeyou & Henok Dinku Zenegnaw Show by Adey Entertainment 1 year ago 13 minutes, 5 seconds 19,757 views",Adey Entertainment,19757,19899,142
27,"ከ አርቲሰት ሜላት ነብዩ ጋር የተደረገ ቃለ መጠየቅ (አዝናኝና አስቂኝ ጨዋታ) ዝነኛው ሾው/ Melat Nebeyou & Henok Dinku Zenegnaw Show by Adey Entertainment 1 year ago 2 minutes, 43 seconds 35,323 views",Adey Entertainment,35323,35513,190
28,"ከ አርቲሰት ሔኖክ ድንቁ ጋር የተደረገ ቃለ መጠየቅ እና  አዝናኝ ቆይታ/ ዝነኛው ሾው/Zenegnaw Show/ Melat Nebeyou & Henok Dinku by Adey Entertainment 1 year ago 10 minutes, 42 seconds 218,100 views",Adey Entertainment,218100,218899,799
29,"Sami Dan - Lebe Sema | ልቤ ስማ - New Ethiopian Music 2019 (Official Video) by Adey Entertainment 2 years ago 6 minutes, 1 second 25,116 views",Adey Entertainment,25116,25296,180
30,"Fikru Yilkal  - Wub Ager Gonder  | ዉብ ሀገር ጎንደር - New Ethiopian Music 2022 by ADMAS MUSIC 5 days ago 6 minutes, 33 seconds 3,889 views",Admas Music,3889,7755,3866
31,"Filmon Fissehaye  - Ajoka  | ኣጆኻ - New Eritrean Music 2022 by ADMAS MUSIC 2 weeks ago 4 minutes, 45 seconds 6,124 views",Admas Music,6124,7298,1174
32,"Nahom Da - Lbona eta Lebam | ልቦና እታ ለባም - New Eritrean Music 2022 by ADMAS MUSIC 2 weeks ago 3 minutes, 59 seconds 13,565 views",Admas Music,13565,15098,1533
33,"Tekhali Gebrehiwet - Kxbeyeki Eye | ክጽበየኪ እየ - New Eritrean Music 2022 by ADMAS MUSIC 3 weeks ago 5 minutes, 58 seconds 11,422 views",Admas Music,11422,12086,664
34,"Hussein Basheqir - Beker Sham | በክር ሻም  ብ ሑሴን ባሸቂር - New Eritrean Music 2022 by ADMAS MUSIC 1 month ago 5 minutes, 40 seconds 13,992 views",Admas Music,13992,14536,544
35,"Fishale Mujo - Bahli Ade'boy | ባህሊ ዓደ'ቦይ - New Eritrean Music 2022 by ADMAS MUSIC 1 month ago 3 minutes, 37 seconds 10,220 views",Admas Music,10220,10405,185
36,"SDET - ስደት by Berhane Teweldemedhin (Wedi Haleka) - New Eritrean Music 2022 by ADMAS MUSIC 1 month ago 5 minutes 516,120 views",Admas Music,516120,541740,25620
37,"SDET (ስደት) by Berhane Wedi Haleka - NEW ERITREAN MUSIC Coming Soon @ADMAS MUSIC by ADMAS MUSIC 1 month ago 2 minutes, 33 seconds 119,234 views",Admas Music,119234,119828,594
38,"Dejen Simon - Haliwiley | ሃልውለይ ብ ደጀን ስምኦን - New Eritrean Music 2022 by ADMAS MUSIC 2 months ago 4 minutes, 21 seconds 197,874 views",Admas Music,197874,204704,6830
39,"Nehmiya Zeray - Chey Chey |  ቸይ ቸይ ብ ነህሚያ ዘርኣይ - New Eritrean Music 2022 by ADMAS MUSIC 2 months ago 4 minutes, 14 seconds 653,189 views",Admas Music,653189,681317,28128
40,"Merhawi Tewelde  - Ab Wegahta | ኣብ ወጋሕታ ብ መርሃዊ ተወልደ - New Eritrean Music 2021 by ADMAS MUSIC 3 months ago 5 minutes, 18 seconds 279,495 views",Admas Music,279495,289639,10144
41,"Biniam Okbagaber (Chapin) - Muley | ሙለይ ብ ቢንያም ዑቕባጋብር (ቻፒን)  - New Eritrean Music 2021 by ADMAS MUSIC 3 months ago 5 minutes, 1 second 154,301 views",Admas Music,154301,156899,2598
42,"Abraham Alem - Shewit Sgem | ሸዊት ስገም ብ ኣብርሃም ኣለም ኣቢ - New Eritrean Music 2021 by ADMAS MUSIC 4 months ago 6 minutes, 21 seconds 2,348,543 views",Admas Music,2348543,2411326,62783
43,"Minasie Haile  - Tsehay | ጽሓይ - New Eritrean Music 2021 by ADMAS MUSIC 4 months ago 5 minutes, 24 seconds 20,183 views",Admas Music,20183,20296,113
44,"Filmon Mahray - Gedamey | ገዳመይ  - New Eritrean Music 2021 by ADMAS MUSIC 4 months ago 5 minutes, 23 seconds 678,182 views",Admas Music,678182,698774,20592
45,"Amanuel Goitom - Fanusey | ፋኑሰይ - New Eritrean Music 2021 (Traditional Guayla) by ADMAS MUSIC 5 months ago 8 minutes, 2 seconds 680,128 views",Admas Music,680128,699675,19547
46,"Kuhlen Ibe - Nyam Nyam | ኛም ኛም - New Eritrean Music 2021 by ADMAS MUSIC 5 months ago 4 minutes, 28 seconds 9,323 views",Admas Music,9323,9411,88
47,"Tsegay Sibhatu - Sidet'yu Bedali | ስደት'ዩ በዳሊ - New Eritrean Music 2021 by ADMAS MUSIC 5 months ago 5 minutes, 45 seconds 155,327 views",Admas Music,155327,159528,4201
48,"Yosief H Michael - Kulu Zemhirela | ኩሉ ዘምሕረላ - New Eritrean Music 2021 by ADMAS MUSIC 5 months ago 5 minutes, 35 seconds 48,056 views",Admas Music,48056,48635,579
49,"Semir Abubeker - Zyaday | ዝያዳይ - New Eritrean Music 2021 by ADMAS MUSIC 6 months ago 4 minutes, 53 seconds 31,350 views",Admas Music,31350,31788,438
50,"Habtom Tekeste - Ajoki | ኣጆኺ - New Eritrean Music 2021 by ADMAS MUSIC 6 months ago 5 minutes, 15 seconds 21,721 views",Admas Music,21721,21812,91
51,"Osam Nurselam - Fenan | فنان - New Ethio Arabic Music by ADMAS MUSIC 6 months ago 3 minutes, 26 seconds 9,431 views",Admas Music,9431,9515,84
52,"Izack Ft Ras Yared - Yemaneshe | የማነሽ - New Ethiopian Music 2021 by ADMAS MUSIC 6 months ago 2 minutes, 58 seconds 8,189 views",Admas Music,8189,8273,84
53,"Daniel Estifanos - Aboy | ኣቦይ - New Eritrean Music 2021 by ADMAS MUSIC 7 months ago 5 minutes, 34 seconds 40,585 views",Admas Music,40585,40750,165
54,"Kifle Berhe - Kohayiney Adey | ቆሓይነይ ዓደይ - New Eritrean Music 2021 by ADMAS MUSIC 7 months ago 8 minutes, 54 seconds 71,367 views",Admas Music,71367,71772,405
55,"Mogos Teklit (Wedi Zager) - Ezi Weledo | እዚ ወለዶ - New Eritrean Music 2021 by ADMAS MUSIC 7 months ago 6 minutes, 14 seconds 19,783 views",Admas Music,19783,19969,186
56,"BIRUK JANE (KIRA) feat BEK - EMEGNIGN | እመኚኝ - New Ethiopian Music 2021 by ADMAS MUSIC 7 months ago 4 minutes, 1 second 47,650 views",Admas Music,47650,50123,2473
57,"Ferow feat Hagos Berhane - Love All - New Eritrean Music 2021 by ADMAS MUSIC 7 months ago 3 minutes, 55 seconds 35,016 views",Admas Music,35016,35104,88
58,"Dawit Kahsay - Haliwiley | ሃልውለይ - Eritrean Music 2021 by ADMAS MUSIC 8 months ago 5 minutes, 16 seconds 10,048 views",Admas Music,10048,10097,49
59,"Kidane Tesefaye - Selamey | ሰላመይ - Ethiopian Music by ADMAS MUSIC 8 months ago 4 minutes, 29 seconds 18,136 views",Admas Music,18136,18215,79
60,"Koang Bol Luak - Gambella Ejuale Tungker Nyaang | Ethiopian Music 2021 by ADMAS MUSIC 8 months ago 5 minutes, 43 seconds 8,134 views",Admas Music,8134,8234,100
61,"Ghebrebirhan Fishaye - Bealti Bar | ብዓል'ቲ ባር - Eritrean Music 2021 by ADMAS MUSIC 8 months ago 4 minutes, 40 seconds 82,299 views",Admas Music,82299,82691,392
62,"Florida Weldu - Nea Temeles | ንዓ ተመለስ - Eritrean Music 2021 by ADMAS MUSIC 8 months ago 5 minutes, 15 seconds 1,496,787 views",Admas Music,1496787,1512329,15542
63,"Yalew Anley (Tyger)  - Fikreaddis | ፍቅራዲስ - New Ethiopian Music 2021 by ADMAS MUSIC 9 months ago 5 minutes, 13 seconds 40,157 views",Admas Music,40157,40229,72
64,"Yalew Anley (Tyger) - Neway | ነዋይ - New Ethiopian Music 2021 by ADMAS MUSIC 9 months ago 6 minutes, 1 second 7,281 views",Admas Music,7281,7330,49
65,"Yalew Anley (Tyger) - Mnew | ምነው - New Ethiopian Music 2021 by ADMAS MUSIC 9 months ago 5 minutes, 19 seconds 7,226 views",Admas Music,7226,7370,144
66,"Yalew Anley (Tyger) - Ay Wubet | አይ ዉበት - New Ethiopian Music 2021 by ADMAS MUSIC 9 months ago 5 minutes, 48 seconds 7,630 views",Admas Music,7630,7687,57
67,"Yalew Anley (Tyger) - Entewawek | እንተዋወቅ - New Ethiopian Music 2021 by ADMAS MUSIC 9 months ago 5 minutes, 44 seconds 11,901 views",Admas Music,11901,12007,106
68,"Yalew Anley (Tyger) - Kalkidan | ቃልኪዳን - New Ethiopian Music 2021 by ADMAS MUSIC 9 months ago 5 minutes, 24 seconds 15,076 views",Admas Music,15076,15265,189
69,"Yalew Anley (Tyger) - Melsegn | መልሰኝ - New Ethiopian Music 2021 by ADMAS MUSIC 9 months ago 7 minutes, 26 seconds 5,504 views",Admas Music,5504,5559,55
70,"Yalew Anley (Tyger) - Mnale | ምናለ - New Ethiopian Music 2021 by ADMAS MUSIC 9 months ago 4 minutes, 2 seconds 5,448 views",Admas Music,5448,5514,66
71,"Yalew Anley (Tyger) - Ewedeshalhu | እወድሻለሁ - New Ethiopian Music 2021 by ADMAS MUSIC 9 months ago 4 minutes, 23 seconds 7,059 views",Admas Music,7059,7116,57
