,Posts,Channel,Views_03/03,Views_03/12,view_delta
0,"Tokichaw and Gikdo Kasa -Hole Hama | ሆሌ ሐማ -New Ethiopian Sidama Music 2022(official video) by Mafi ያ Tube 7 days ago 5 minutes, 13 seconds 244 views",Mafi ያ Tube,244,488,244
1,"Didi Gaga ft Sancho Gebre - Kim Kim |ኪም ኪም - New Ethiopian Music 2022(official music Video) by Mafi ያ Tube 11 days ago 3 minutes, 36 seconds 1,479 views",Mafi ያ Tube,1479,2744,1265
2,"Temesgen G/Egziabher - Kebad | ከባድ -New Ethiopian music lyrics 2022(official lyrics) by Mafi ያ Tube 2 weeks ago 4 minutes, 45 seconds 436 views",Mafi ያ Tube,436,554,118
3,"Yared Negu and Sancho Gebre - Kula Kulo | ኩላኩሎ - New Ethiopian Music 2022(official video) by Mafi ያ Tube 2 weeks ago 4 minutes, 23 seconds 4,259 views",Mafi ያ Tube,4259,6045,1786
4,"DIDI GAGA - Woze | ዎዜ - Ethiopian New Lyrical and Dance music Video 2022 by Mafi ያ Tube 3 weeks ago 4 minutes, 16 seconds 458 views",Mafi ያ Tube,458,594,136
5,"Eden G/selassie and Amanuel Yilma - Abeney | ኣበነይ -New Ethiopian Tigray Music 2022 by Mafi ያ Tube 3 weeks ago 8 minutes, 3 seconds 186 views",Mafi ያ Tube,186,207,21
6,Subscribe by Mafi ያ Tube 1 month ago 24 seconds 17 views,Mafi ያ Tube,17,23,6
7,"Neahom And Selamawit - Tebleni | ተብለኒ - New Ethio-Ertria Music 2022(official video) by Mafi ያ Tube 1 month ago 6 minutes, 43 seconds 277 views",Mafi ያ Tube,277,296,19
8,"Selamawit Yohanis - Habeney | ሓበነይ - New Ethiopian Music 2022 (official video) by Mafi ያ Tube 1 month ago 5 minutes, 44 seconds 339 views",Mafi ያ Tube,339,369,30
9,"Abebe Teka - Bementa Tutochua | በመንታ ጡቶቿ - Ethiopian Lyrical and instrumental music 2022 by Mafi ያ Tube 1 month ago 5 minutes, 44 seconds 259 views",Mafi ያ Tube,259,341,82
10,"Dagi Boy - Ayinama | አይናማ - New Ethiopian Afro pop Cover Music 2022 (official Music) by Mafi ያ Tube 1 month ago 3 minutes, 41 seconds 989 views",Mafi ያ Tube,989,1191,202
11,Dagi Boy  Interview on South TV Ten years movements on many type of Art-የዳጊ ቦይ ቃለ መጠይቅ በደቡብ ቲቪ by Mafi ያ Tube 1 month ago 21 minutes 74 views,Mafi ያ Tube,74,76,2
12,"Danny flavour_funny video by Mafi ያ Tube 1 month ago 1 minute, 41 seconds 16 views",Mafi ያ Tube,16,17,1
13,"Biruk Bekele - Enbut tsigereda | እንቡጥ ፅጌሬዳ - New Ethiopian music 2021(official video) by Mafi ያ Tube 2 months ago 5 minutes, 24 seconds 91 views",Mafi ያ Tube,91,105,14
14,"Yared Negu - Man Alat | ማን አላት - New Ethiopian Music 2021 (official video) by Mafi ያ Tube 2 months ago 3 minutes, 43 seconds 224 views",Mafi ያ Tube,224,434,210
15,nigeruat challenge by Mafi ያ Tube 2 months ago 31 seconds 22 views,Mafi ያ Tube,22,36,14
16,"ጉድ ሰራችኝ ድንቅ ኮሜዲ ፊልም ስቀው ማቆም ካቃቶት ተሸንፈዋል ማለት ነው by Mafi ያ Tube 2 months ago 10 minutes, 17 seconds 35 views",Mafi ያ Tube,35,37,2
17,"Mahlet Gashaw - Fikr Bene tsento 90'th Cover |90' ቹ ከቨር - New Ethiopian cover music by Mafi ያ Tube 2 months ago 3 minutes, 20 seconds 65 views",Mafi ያ Tube,65,69,4
18,"Biniyam Tesema ft Gildo Kasa - Ney Ney | ነይ ነይ - New Ethiopian music video 2021(official video) by Mafi ያ Tube 2 months ago 4 minutes, 33 seconds 7,195 views",Mafi ያ Tube,7195,10210,3015
19,"Teme Shanto_×_Gildo Kasa - Daamo | ዳኣሞ - New Ethiopian Music video 2021(official video) by Mafi ያ Tube 2 months ago 4 minutes, 42 seconds 326 views",Mafi ያ Tube,326,335,9
20,"Lalem Muluneh - shekila Seriwa /ሸክላ ሰሪዋ - New Ethiopian Music 202(official Video) by Mafi ያ Tube 2 months ago 5 minutes, 25 seconds 123 views",Mafi ያ Tube,123,124,1
21,"Best Ethiopian Non stop music 2017-2021Collection by Mafi ያ Tube 3 months ago 3 hours, 37 minutes 704 views",Mafi ያ Tube,704,1121,417
22,"Yidota - Eden - Dagi Boy -Balebzu Kelem |ባለብዙ ቀለም -New Ethiopian Music 2021(official video) by Mafi ያ Tube 3 months ago 5 minutes, 43 seconds 66 views",Mafi ያ Tube,66,68,2
23,"Dagi Boy - Egna Enkomalen|እኛ እንቆማለን - New Ethiopian Defense force army Music 2021(official video) by Mafi ያ Tube 3 months ago 5 minutes, 14 seconds 97 views",Mafi ያ Tube,97,104,7
24,"Dagi Boy - Banchima | New Ethiopian Afro pop Cover music (cover music) by Mafi ያ Tube 3 months ago 3 minutes, 5 seconds 729 views",Mafi ያ Tube,729,798,69
25,Dagi Boy - Nigeruat | ንገሯት - New Ethiopian Music Video 2021(official video) by Mafi ያ Tube 3 months ago 4 minutes 163 views,Mafi ያ Tube,163,168,5
26,"Tekalign Paulos - Neka Bel | ነቃ በል - New Ethiopian Music 2021 (Official Video) by Mafi ያ Tube 3 months ago 4 minutes, 40 seconds 22 views",Mafi ያ Tube,22,25,3
27,"Fiyori Beyene - Ageb Beluley |ፍዮሪ በየነ - New Tigray Music 2021 by Mafi ያ Tube 3 months ago 4 minutes, 9 seconds 114 views",Mafi ያ Tube,114,120,6
28,"Gedion Daniel (Lemen?) ጌድዮን ዳንኤል ( ለምን?) New Ethiopian Music 2021 (Official Video) by Mafi ያ Tube 3 months ago 5 minutes, 4 seconds 331 views",Mafi ያ Tube,331,340,9
29,"Selamawit Yohannis - Adey Tigray |አደይ ትግራይ - New Tigray Music 2021 by Mafi ያ Tube 3 months ago 5 minutes, 1 second 173 views",Mafi ያ Tube,173,175,2
30,"Selamawit Yohannis_Nahonm Yohanis-Goblel Segney |ጎብለል ሰግመይ -New Tigray Music 2021 by Mafi ያ Tube 3 months ago 8 minutes, 27 seconds 223 views",Mafi ያ Tube,223,233,10
31,"Asgegnew Ashko(asge) - Loes Instrument | ሎኤስ Ethiopian Instrumental music by Mafi ያ Tube 3 months ago 4 minutes, 21 seconds 126 views",Mafi ያ Tube,126,133,7
32,"Before TV show DAGI Dance Show Trains on stage by Mafi ያ Tube 3 months ago 4 minutes, 13 seconds 17 views",Mafi ያ Tube,17,18,1
33,"Jeli Gamo - Hanassa | ሀናሳ - New Best Ethiopian Gamo music 2021 by Mafi ያ Tube 3 months ago 4 minutes, 52 seconds 799 views",Mafi ያ Tube,799,870,71
34,"Biruk Samuel - Tiztash | ትዝታሽ-በግጥም- New Ethiopian music Lyrics Video(official lyrics) by Mafi ያ Tube 3 months ago 5 minutes, 3 seconds 79 views",Mafi ያ Tube,79,82,3
35,"Abenezer Assefa - Anasiweya | አናሲወያ - New Ethiopian Music 2021(official video) by Mafi ያ Tube 3 months ago 4 minutes, 57 seconds 165 views",Mafi ያ Tube,165,170,5
36,"YoYo - Abereregn|አበረረኝ - New Ethiopian Music video 2021(official video) by Mafi ያ Tube 3 months ago 3 minutes, 48 seconds 69 views",Mafi ያ Tube,69,69,0
37,"Dagi Boy - Fetahuat |ፈታኃት - New Ethiopian Music video 2021(official video) by Mafi ያ Tube 3 months ago 5 minutes, 9 seconds 1,179 views",Mafi ያ Tube,1179,1204,25
38,nigeruat dagi boy by Mafi ያ Tube 3 months ago 36 seconds 30 views,Mafi ያ Tube,30,32,2
39,"Yo Yo_ Hiphop |ሂፕሀፕ ሀገርኛ _ New Ethiopian hip hop music 2021 by Mafi ያ Tube 3 months ago 3 minutes, 49 seconds 99 views",Mafi ያ Tube,99,100,1
40,"Bishaw Birhanu - Gingilate | ጊንጊላቴ - New Ethiopian sidama Music Video 2021(official video) by Mafi ያ Tube 3 months ago 4 minutes, 36 seconds 903 views",Mafi ያ Tube,903,1012,109
41,"Aschalew_Tiringo new kenfersh | ትርንጎ ነው ከንፈርሽ-New Ethiopian Music 2021(official video) by Mafi ያ Tube 3 months ago 4 minutes, 30 seconds 110 views",Mafi ያ Tube,110,112,2
42,"Nahom Yohanis -ኣነ'ሕሽኪ | ኣነ'ሕሽኪ - New Tigray music 2021(official music) by Mafi ያ Tube 3 months ago 3 minutes, 59 seconds 172 views",Mafi ያ Tube,172,173,1
43,"Ephrem Amare And Nehom Mekuria-Meley | መለይ - Ethiopian New Music (official videi) 2021 by Mafi ያ Tube 3 months ago 4 minutes, 57 seconds 210 views",Mafi ያ Tube,210,224,14
44,"Kabir G.hageyo- Lelo | ሌሎ - New Ethiopian Oromo Music Video 2021(official Video) by Mafi ያ Tube 4 months ago 3 minutes, 17 seconds 554 views",Mafi ያ Tube,554,562,8
45,"እማማ_ትወጂኛለሽ ዎይ_ልዩ የልጆች መዝሙር ቁ2 |Emama_twejignalesh Woy_Best kids sing song #100 vol2 October 30, 2021 by Mafi ያ Tube 4 months ago 6 minutes, 5 seconds 182 views",Mafi ያ Tube,182,202,20
46,"ትውልድ እንቅረፅ የልጆች አስገራሚ መዝሙር _ቁጥር አንድ_Tiwld Enqirets _ Ethiopian New kids Song Vol One  #100 by Mafi ያ Tube 4 months ago 5 minutes, 18 seconds 27 views",Mafi ያ Tube,27,32,5
47,"Chena_Job - Mewdede | መውደዴ - New Ethiopian Afro pop Music 2021 (official video) by Mafi ያ Tube 4 months ago 3 minutes, 31 seconds 73 views",Mafi ያ Tube,73,82,9
48,"Werkaferahu Ft Gildo kasa -Kebera | ከቤራ - Ethiopian New music 2021 (official music Video) by Mafi ያ Tube 4 months ago 3 minutes, 20 seconds 321 views",Mafi ያ Tube,321,356,35
49,"Adissu Dagne - Kelib | ከልብ - New Ethiopian cover music 2021 (official video ( by Mafi ያ Tube 4 months ago 5 minutes, 17 seconds 198 views",Mafi ያ Tube,198,203,5
50,"Biruk Samuel - Lela Ken New | ሌላ ቀን ነው - New Ethiopian Music Video 2021 (official video) by Mafi ያ Tube 4 months ago 3 minutes, 32 seconds 270 views",Mafi ያ Tube,270,274,4
51,"Abenezer Assefa - Tsigereda | ጽገሬዳ - AB  New Best Ethiopian 90'th Cover Music 2021 (official video) by Mafi ያ Tube 4 months ago 3 minutes, 43 seconds 1,326 views",Mafi ያ Tube,1326,1398,72
52,እስኪመለስ አዲስ የአማርኛ አክሽን ፊልም_Eskimeles New Ethiopian Action Movie 2021 by Mafi ያ Tube 4 months ago 40 minutes 306 views,Mafi ያ Tube,306,334,28
53,"Eden G/silassie - Kinalfo Inna | ክንሀልፎ ዒና - New Tigray  Music Video 2021 (official  video) by Mafi ያ Tube 4 months ago 7 minutes, 20 seconds 287 views",Mafi ያ Tube,287,290,3
54,"Dagi Boy - DIMAM | ድማም - New Ethiopian  Music Video 2016 (official  video) by Mafi ያ Tube 6 months ago 5 minutes, 13 seconds 315 views",Mafi ያ Tube,315,317,2
55,"Alemayehu Zasa - Cheda kusha | ጨዳ ኩሻ - New Ethiopian  Music Video 2018 (official  video) by Mafi ያ Tube 9 months ago 5 minutes, 53 seconds 78 views",Mafi ያ Tube,78,86,8
56,"እንዲህም ይጨፈራል ለካ በሳቅ ነው ያደከመቻው ህዝቡን አስደመመ by Mafi ያ Tube 9 months ago 2 minutes, 8 seconds 69 views",Mafi ያ Tube,69,69,0
57,"Adbar Tilahun - Bodewa | ቦደዋ -New Ethiopian Yem Music Video 2021 (official  video) by Mafi ያ Tube 9 months ago 4 minutes, 32 seconds 944 views",Mafi ያ Tube,944,958,14
58,Banchima Challenge Best one by Mafi ያ Tube 9 months ago 49 seconds 56 views,Mafi ያ Tube,56,56,0
59,Dita_Challenge by Mafi ያ Tube 9 months ago 40 seconds 59 views,Mafi ያ Tube,59,65,6
60,ባለጋሪው በዲሽታ ጊና ሙዚቃ ፈታ አደረጋቸው_Ballgariw_Entertaining the people by new Ethiopian music Dishtagina by Mafi ያ Tube 9 months ago 4 minutes 132 views,Mafi ያ Tube,132,137,5
61,"Dagi Boy-Endeakme | እንዳቅሜ - New Ethiopian Music (official video) by Mafi ያ Tube 10 months ago 6 minutes, 6 seconds 217 views",Mafi ያ Tube,217,218,1
62,"#ethiopian Gosaye Bayu(ጎሳዬ ባዩ)_Abel Bemote(አቤል በሞቴ)_New Ethiopian official music Video 2020 by Mafi ያ Tube 10 months ago 4 minutes, 2 seconds 82 views",Mafi ያ Tube,82,82,0
63,"Dagi Boy ft Minte  - Corona | ኮሮና - New Ethiopian  Music Video 2021 (official  video) by Mafi ያ Tube 10 months ago 2 minutes, 4 seconds 796 views",Mafi ያ Tube,796,811,15
64,"Dagi Boy - Semayawi | ሰማያዊ ማጀቢያ - New Ethiopian movies score Music 2021 (official  video) by Mafi ያ Tube 10 months ago 5 minutes, 14 seconds 753 views",Mafi ያ Tube,753,771,18
65,"Best Kids dancer in gamo by Mafi ያ Tube 10 months ago 3 minutes, 11 seconds 47 views",Mafi ያ Tube,47,50,3
66,"Copy of አስገራሚ የልጆች ሰርከስ ትርዒት በዚህ እድሜ ይሄን መሞክር ይከብዳል by Mafi ያ Tube 10 months ago 5 minutes, 23 seconds 90 views",Mafi ያ Tube,90,95,5
67,"Dagi Boy ft Hermela - Limensh Wey | ልመንሽ ዎይ - New Ethiopian  Music Video 2019 (official  video) by Mafi ያ Tube 10 months ago 4 minutes, 46 seconds 433 views",Mafi ያ Tube,433,436,3
68,"Best sidama cultural Dance by Dagi Dance show Int_ምርጥ የሲዳማ ባህላዊ ጭፈራ by Mafi ያ Tube 11 months ago 4 minutes, 29 seconds 239 views",Mafi ያ Tube,239,241,2
69,Jerusalem challenge by Ethiopian Dancer_Dagi Dance Show international by Mafi ያ Tube 11 months ago 32 seconds 221 views,Mafi ያ Tube,221,221,0
70,ላንቃ በድጋሚ አስደንጋጭ _Cover Music ላለመሳቅ ይሞክሩ by Mafi ያ Tube 11 months ago 1 minute 52 views,Mafi ያ Tube,52,56,4
71,"በሀገራችን ለመጀመሪያ ግዜ በከፍተኛ ብቃት የተሰራ Cover music_ላንቃን ተዋወቁት እስቲ ላለመሳቅ ይሞክሩ እባካችሁ by Mafi ያ Tube 11 months ago 1 minute, 8 seconds 29 views",Mafi ያ Tube,29,29,0
72,"Abenezer Asefa - Yikr | ይቅር - New Ethiopian  Music Video 2020 (official  video) by Mafi ያ Tube 11 months ago 4 minutes, 17 seconds 596 views",Mafi ያ Tube,596,607,11
73,"Best Traditional Dance of gamo and wolayita...ቀወጡት እኮ ሴቶች በጣም ያምራሉ by Mafi ያ Tube 11 months ago 3 minutes, 13 seconds 59 views",Mafi ያ Tube,59,59,0
74,ባንቺማ_ቻለንጅ_በሶሊ_ዳጊ ቦይ_Banchima_challenge _soli_song by Dagi Boy by Mafi ያ Tube 1 year ago 33 seconds 500 views,Mafi ያ Tube,500,502,2
75,"Slow Music live performance By Dagi Reggae by Mafi ያ Tube 1 year ago 6 minutes, 23 seconds 88 views",Mafi ያ Tube,88,91,3
76,"ነብስ ይማር በማይካድራ 215 አስክሬን የቀብር ስነ ስርዓት እየተደረገ ይገኛል ነብስ ይማር ወገኔ by Mafi ያ Tube 1 year ago 3 minutes, 16 seconds 28 views",Mafi ያ Tube,28,28,0
77,"እኔስ የለኝ ጓደኛ Teddy afro  27/3/2020 by Mafi ያ Tube 1 year ago 1 minute, 4 seconds 48 views",Mafi ያ Tube,48,49,1
78,"የቲክቶኳን ቆንጆ ሀዩቲን አገናኙኝ የምነግራት አለኝ ይላል by Mafi ያ Tube 1 year ago 4 minutes, 42 seconds 72 views",Mafi ያ Tube,72,72,0
79,"በልቼ ተበላሁ አለ
ሙሰኛው ፖሊስ(ሙና እና እያሱ) ምርጥ አስቂኝ እና አዝናኝ የአጭር ግዜ ድራማ ፈታ ማለት ለሚፈልጉ by Mafi ያ Tube 1 year ago 12 minutes, 15 seconds 71 views",Mafi ያ Tube,71,72,1
80,"እዩ BoY ሞዴል ሳሮን አየልኝን መፀዳጃ ቤት ድረስ በመከተል ፍቅሩን ሊገልፅላት ሲል ያጋጠመው ያልታሰበ ክስተት by Mafi ያ Tube 1 year ago 1 minute, 12 seconds 371 views",Mafi ያ Tube,371,371,0
81,"የጩባው መችም የማይደገም በሳቅ ፍርስ የሚያደርግ አድክም ትወና ካለፈው ሳምንት የተቀነጨበ by Mafi ያ Tube 1 year ago 2 minutes, 46 seconds 84 views",Mafi ያ Tube,84,84,0
82,"Dagi_Boy_Matitegeb(ማትጠገብ)_Ethiopian New Music 2020_Official Video by Mafi ያ Tube 1 year ago 4 minutes, 49 seconds 204 views",Mafi ያ Tube,204,204,0
83,"Wolayita Cultural Dance_By #Dagi_Dance_Show_Hawassa by Mafi ያ Tube 1 year ago 5 minutes, 24 seconds 78 views",Mafi ያ Tube,78,81,3
